#,Company,Symbol,Headquarter,Sector,Portfolio%,      Price,Chg,% Chg
1,Apple Inc.,AAPL,"Cupertino, California, USA",Information Technology,7.28%,178.72,-0.13,(-0.07%)
2,Microsoft Corp,MSFT,"Redmond, Washington, USA",Information Technology,6.75%,332.64,4.91,-1.50%
3,Amazon.com Inc,AMZN,"Seattle, Washington, USA",Consumer Discretionary,3.29%,132.55,2.76,-2.13%
4,Nvidia Corp,NVDA,"Santa Clara, California, USA",Information Technology,3.18%,460.95,6.34,-1.39%
5,Alphabet Inc. Class A,GOOGL,"Mountain View, California, USA",Information Technology,2.26%,139.1,1.73,-1.26%
6,"Meta Platforms, Inc. Class A",META,"Menlo Park, California, USA",Information Technology,1.98%,321.15,6.46,-2.05%
7,"Tesla, Inc.",TSLA,"Austin, Texas, USA",Consumer Discretionary,1.96%,253.92,2.8,-1.12%
8,Alphabet Inc. Class C,GOOG,"Mountain View, California, USA",Information Technology,1.94%,140.49,1.91,-1.38%
9,Berkshire Hathaway Class B,BRK.B,"Omaha, Nebraska, USA",Financials,1.73%,346.23,1.14,-0.33%
10,Eli Lilly & Co.,LLY,"Indianapolis, Indiana, USA",Health Care,1.33%,616.64,7.44,-1.22%
11,Unitedhealth Group Incorporated,UNH,"Minnetonka, Minnesota, USA   ",Health Care,1.33%,538.03,-1.37,(-0.25%)
12,Exxon Mobil Corporation,XOM,"Irving, Texas, USA",Energy,1.17%,109.95,0.08,-0.07%
13,Jpmorgan Chase & Co.,JPM,"New York, New York, USA              ",Financials,1.16%,147.85,-0.15,(-0.10%)
14,Visa Inc.,V,"San Francisco, California, USA    ", Information Technology,1.04%,240.07,2.4,-1.01%
15,Johnson & Johnson,JNJ,"New Brunswick, New Jersey, USA     ",Health Care,1.03%,157.53,0.68,-0.43%
16,Broadcom Inc.,AVGO,"San Jose, California, USA",Information Technology,1.02%,902.57,19.39,-2.20%
17,Procter & Gamble Company,PG,"Cincinnati, Ohio, USA               ",Consumer Staples,0.93%,146.07,1.38,-0.95%
18,Mastercard Incorporated,MA,"Purchase, New York, USA             ",Information Technology,0.91%,401.16,3.13,-0.79%
19,"Home Depot, Inc.",HD,"Atlanta, Georgia, USA               ",Consumer Discretionary,0.81%,297.33,5.41,-1.85%
20,Chevron Corporation,CVX,"San Ramon, California, USA         ",Energy,0.78%,165.4,1.34,-0.82%
21,"Merck & Co., Inc.",MRK,"Kenilworth, New Jersey, USA        ",Health Care,0.72%,104.14,0.13,-0.12%
22,Abbvie Inc.,ABBV,"North Chicago, Illinois, USA        ",Health Care,0.72%,147.23,-0.73,(-0.49%)
23,Adobe Inc.,ADBE,"San Jose, California, USA          ",Information Technology,0.70%,550.74,1.98,-0.36%
24,Costco Wholesale Corp,COST,"Issaquah, Washington, USA          ",Consumer Discretionary,0.69%,572.24,5.4,-0.95%
25,Walmart Inc.,WMT,"Bentonville, Arkansas, USA          ",Consumer Discretionary,0.62%,161.21,1.38,-0.86%
26,"Cisco Systems, Inc.",CSCO,"San Jose, California, USA          ",Information Technology,0.60%,54.16,0.39,-0.73%
27,"Pepsico, Inc.",PEP,"Harrison, New York, USA             ",Consumer Staples,0.60%,161.08,1.08,-0.68%
28,Coca-Cola Company,KO,"Atlanta, Georgia, USA               ",Consumer Staples,0.56%,53.43,0.54,-1.02%
29,"Salesforce, Inc.",CRM,"San Francisco, California, USA     ",Information Technology,0.55%,208.53,3.94,-1.93%
30,Accenture Plc,ACN,"Dublin, Ireland                               ",Information Technology,0.53%,305.34,3.51,-1.16%
31,"Thermo Fisher Scientific, Inc.",TMO,"Waltham, Massachusetts, USA         ",Health Care,0.51%,488.54,5.69,-1.18%
32,Bank of America Corporation,BAC,"Charlotte, North Carolina, USA     ",Financials,0.51%,26.99,0.23,-0.86%
33,Pfizer Inc.,PFE,"New York, New York, USA              ",Health Care,0.51%,33.27,1.16,-3.61%
34,Linde Plc,LIN,"Guildford, United Kingdom                      ",Materials,0.51%,379.24,1.35,-0.36%
35,Comcast Corp,CMCSA,"Philadelphia, Pennsylvania, USA   ",Communication Services,0.50%,44.25,0.44,-1.00%
36,Mcdonald's Corporation,MCD,"Chicago, Illinois, USA             ",Consumer Discretionary,0.49%,249.94,1.63,-0.66%
37,Advanced Micro Devices,AMD,"Santa Clara, California, USA       ",Information Technology,0.48%,106.46,1.37,-1.30%
38,Oracle Corp,ORCL,"Redwood City, California, USA      ",Information Technology,0.47%,108.71,0.46,-0.42%
39,Netflix Inc,NFLX," Los Gatos, California, USA        ",Communication Services,0.44%,360.82,5.14,-1.45%
40,Abbott Laboratories,ABT,"Abbott Park, Illinois, USA        ",Health Care,0.43%,92.18,1.31,-1.44%
41,The Walt Disney Company,DIS,"Burbank, California, USA            ",Communication Services,0.42%,85.71,1.36,-1.61%
42,Intel Corp,INTC,"Santa Clara, California, USA       ",Information Technology,0.42%,36.56,0.59,-1.64%
43,Amgen Inc,AMGN,"Thousand Oaks, California, USA    ",Health Care,0.42%,286.88,2.78,-0.98%
44,Intuit Inc,INTU,"Mountain View, California, USA    ",Information Technology,0.42%,540.9,7.85,-1.47%
45,Wells Fargo & Co.,WFC,"San Francisco, California, USA     ",Financials,0.40%,41.65,0.69,-1.68%
46,Conocophillips,COP,"Houston, Texas, USA               ",Energy,0.40%,125.31,0.45,-0.36%
47,Philip Morris International Inc.,PM,"New York, New York, USA              ",Consumer Staples,0.39%,93.12,0.86,-0.93%
48,Texas Instruments Incorporated,TXN,"Dallas, Texas, USA                  ", Information Technology,0.39%,154.3,1.55,-1.01%
49,Danaher Corporation,DHR,"Washington, D.C., USA              ",Health Care,0.38%,210.45,1.02,-0.49%
50,Caterpillar Inc.,CAT,"Deerfield, Illinois, USA",Industrials,0.38%,270.79,2.85,-1.06%
51,Verizon Communications,VZ,"New York, New York, USA",Communication Services,0.36%,31.25,0.58,-1.89%
52,International Business Machines Corporation,IBM,"Armonk, New York, USA",Information Technology,0.35%,139.21,0.75,-0.54%
53,Union Pacific Corp.,UNP,"Omaha, Nebraska, USA",Industrials,0.35%,210.83,3.08,-1.48%
54,Qualcomm Inc,QCOM,"San Diego, California, USA",Information Technology,0.34%,110.51,1.85,-1.70%
55,"Honeywell International, Inc.",HON,"Charlotte, North Carolina, USA",Industrials,0.33%,186.23,2.67,-1.45%
56,Applied Materials Inc,AMAT,"Santa Clara, California, USA",Information Technology,0.33%,141,-0.14,(-0.10%)
57,"Nike, Inc.",NKE,"Beaverton, Oregon, USA",Consumer Discretionary,0.33%,102.04,2.13,-2.13%
58,General Electric Company,GE,"Boston, Massachusetts, USA",Industrials,0.33%,109.14,-0.24,(-0.22%)
59,S&p Global Inc.,SPGI,"New York, New York, USA",Financials,0.33%,367.54,3.83,-1.05%
60,Bristol-Myers Squibb Co.,BMY,"New York, New York, USA",Health Care,0.32%,57.17,0.7,-1.24%
61,Lowe's Companies Inc.,LOW,"Mooresville, North Carolina, USA",Consumer Discretionary,0.32%,198.25,2.5,-1.28%
62,"Servicenow, Inc.",NOW,"Santa Clara, California, USA",Information Technology,0.31%,551.63,1.97,-0.36%
63,"United Parcel Service, Inc. Class B",UPS,"Atlanta, Georgia, USA",Industrials,0.31%,156.65,1.57,-1.01%
64,Booking Holdings Inc.,BKNG,"Norwalk, Connecticut, USA",Consumer Discretionary,0.30%,"2,965.40",15.32,-0.52%
65,Boeing Company,BA,"Chicago, Illinois, USA",Industrials,0.30%,184.93,0.02,-0.01%
66,"Nextra Energy, Inc.",NEE,"Juno Beach, Florida, USA",Utilities,0.29%,54.38,-0.11,(-0.20%)
67,"Elevance Health, Inc.",ELV,"Dallas, Texas, USA",Health Care,0.29%,462.62,8.51,-1.87%
68,Rtx Corporation,RTX,"Waltham, Massachusetts, USA",Industrials,0.29%,73.98,0.73,-1.00%
69,Starbucks Corp,SBUX,"Seattle, Washington, USA",Consumer Discretionary,0.29%,93.65,2.17,-2.37%
70,Deere & Company,DE,"Moline, Illinois, USA",Industrials,0.29%,390.54,9.88,-2.60%
71,At&t Inc.,T,"Dallas, Texas, USA",Communication Services,0.28%,14.41,0.05,-0.35%
72,"Tjx Companies, Inc.",TJX,"Framingham, Massachusetts, USA",Consumer Discretionary,0.28%,89.68,1.08,-1.22%
73,Goldman Sachs Group Inc.,GS,"New York, New York, USA",Financials,0.28%,314.39,5.09,-1.65%
74,Automatic Data Processing,ADP,"Roseland, New Jersey, USA",Information Technology,0.28%,249.26,1.76,-0.71%
75,"Prologis, Inc.",PLD,"San Francisco, California, USA",Real Estate,0.28%,110.92,1.27,-1.16%
76,Morgan Stanley,MS,"New York, New York, USA",Financials,0.27%,78.73,0.94,-1.21%
77,Lockheed Martin Corp.,LMT,"Bethesda, Maryland, USA",Industrials,0.27%,440.41,-0.65,(-0.15%)
78,Gilead Sciences Inc,GILD,"Foster City, California, USA",Health Care,0.26%,79.2,1.55,-2.00%
79,Medtronic Plc,MDT,"Dublin, Ireland",Health Care,0.26%,71.75,-0.21,(-0.29%)
80,Vertex Pharmaceuticals Inc,VRTX,"Boston, Massachusetts, USA",Health Care,0.26%,374,3,-0.81%
81,"Marsh & Mclennan Companies, Inc.",MMC,"New York, New York, USA",Financials,0.26%,192.5,1.56,-0.82%
82,Intuitive Surgical Inc.,ISRG,"Sunnyvale, California, USA",Health Care,0.26%,274.16,1.01,-0.37%
83,Cvs Health Corporation,CVS,"Woonsocket, Rhode Island, USA",Health Care,0.25%,71.49,-0.05,(-0.07%)
84,Regeneron Pharmaceuticals Inc,REGN,"Tarrytown, New York, USA",Health Care,0.25%,843.51,3.88,-0.46%
85,"Blackrock, Inc.",BLK,"New York, New York, USA",Financials,0.24%,635.45,7.79,-1.24%
86,American Express Company,AXP,"New York, New York, USA",Financials,0.24%,152.79,1.69,-1.12%
87,The Cigna Group,CI,"Bloomfield, Connecticut, USA",Health Care,0.24%,312.13,7.04,-2.31%
88,Lam Research Corp,LRCX,"Fremont, California, USA",Information Technology,0.24%,650.7,5.58,-0.86%
89,"Analog Devices, Inc.",ADI,"Norwood, Massachusetts, USA",Information Technology,0.24%,172.75,1.68,-0.98%
90,"Eaton Corporation, Plcs",ETN,"Dublin, Ireland",Industrials,0.24%,211.63,3.03,-1.45%
91,Chubb Limited,CB,"Zurich, Switzerland",Financials,0.24%,214.02,3.08,-1.46%
92,Stryker Corporation,SYK,"Kalamazoo, Michigan, USA",Health Care,0.24%,264.09,6.21,-2.41%
93,Progressive Corporation,PGR,"Mayfield Village, Ohio, USA",Financials,0.23%,157.05,2.1,-1.36%
94,"Mondelez International, Inc. Class A",MDLZ,"Deerfield, Illinois, USA",Consumer Staples,0.23%,62.62,1.09,-1.77%
95,Schlumberger Limited,SLB,"Houston, Texas, USA",Energy,0.23%,59.45,0.49,-0.83%
96,Zoetis Inc.,ZTS,"Parsippany, New Jersey, USA",Health Care,0.22%,175.18,0.8,-0.46%
97,Citigroup Inc.,C,"New York, New York, USA",Financials,0.22%,40.95,-0.48,(-1.16%)
